displayName,description
BR-DevOps-Supply-Chain-Domestico-Contributors,Group that controls access to Brazil Azure Devops Supply Chain Domestico Squad
ALL-Employee,Dynamic group that contains all employees
BR-DevOps-Architecture-Admins,Users who have access to Brazil DevOps
BR-DevOps-Support-Contributors,Users who have access to Brazil DevOps
BR-DevOps-Error-Proofing-Stakeholders,Group that controls access to Error Proofing project
Azure_BrazilIoT_Approvers,Azure_BrazilIoT_Approvers
BR-DevOps-Finance-Stakeholders,"Usuarios que podem criar e editar itens de trabalho, incluindo bugs, requisitos e tarefas. Definicao: https://azure.microsoft.com/pt-br/services/devops/compare-features/"
Brazil-Azure-Admins,Azure subscription administrators group in Brazil
BR-DevOps-Reviewers,Brazil DevOps Pull Request Reviewers
BR-DevOps-Hr-Stakeholders,"Usuarios que podem criar e editar itens de trabalho, incluindo bugs, requisitos e tarefas. Definicao: https://azure.microsoft.com/pt-br/services/devops/compare-features/"
Brazil-DevOps-Parts-Stakeholder,Users who have access to Brazil DevOps
BR-DevOps-Supply-Chain-Psld-Stakeholders,"Usuarios que podem criar e editar itens de trabalho, incluindo bugs, requisitos e tarefas. Definicao: https://azure.microsoft.com/pt-br/services/devops/compare-features/"
BR-DevOps-Campo-Largo-Stakeholders,"Usuarios que podem criar e editar itens de trabalho, incluindo bugs, requisitos e tarefas. Definicao: https://azure.microsoft.com/pt-br/services/devops/compare-features/"
BR-DevOps-OperationalSox,Users who have access to Brazil DevOps
Brazil-DevOps-Bus-Plantao,Grupo de usuarios plantonistas
BR-DevOps-Iot-Piracicaba-Contributors,Group that controls access to Brazil Azure Devops IOT Piracicaba Squad
BR-DevOps-Manufatura-Admins,Users who have access to Brazil DevOps
